interactionId,sentence,entities,interaction,relationship
BioInfer_d528,"SDS-PAGE analysis of growth cone cytoskeletons revealed the presence of several major bands, identified by their mobility as actin (43 kDa Mr), myosin heavy chain (195 kDa Mr), spectrin (235 and 240 kDa Mr), and tubulin (51-54 kDa Mr).","[('T4', 'Gene/protein/RNA', 'myosin heavy chain', (144, 162)), ('T1', 'Gene/protein/RNA', 'spectrin', (177, 185)), ('T3', 'Gene/protein/RNA', 'tubulin', (212, 219)), ('T2', 'Gene/protein/RNA', 'actin', (125, 130))]",{},0
BioInfer_d477,"Overexpression of cofilin stimulates bundling of actin filaments, membrane ruffling, and cell movement in Dictyostelium.","[('T1', 'Individual_protein', 'actin', (49, 54)), ('T2', 'Individual_protein', 'cofilin', (18, 25))]","{'R1': ('T1', 'T2')}",1
BioInfer_d805,"We found normal levels of alpha-catenin and beta-catenin in BT549 and HS578t cells; however, low levels of plakoglobin were expressed in these cells compared to those found in weakly invasive MCF-7 cells.","[('T1', 'Gene/protein/RNA', 'beta-catenin', (44, 56)), ('T3', 'Gene/protein/RNA', 'plakoglobin', (107, 118)), ('T2', 'Gene/protein/RNA', 'alpha-catenin', (26, 39))]",{},0
BioInfer_d92,"Because beta-catenin is known to interact with alpha-catenin, which binds to actin, we generated a fusion molecule consisting of the ectodomain of E-cadherin and the actin binding site of alpha-catenin.","[('T6', 'Individual_protein', 'alpha-catenin', (47, 60)), ('T4', 'Individual_protein', 'actin', (77, 82)), ('T5', 'Individual_protein', 'E-cadherin', (147, 157)), ('T1', 'Individual_protein', 'beta-catenin', (8, 20)), ('T3', 'Individual_protein', 'alpha-catenin', (188, 201)), ('T2', 'Individual_protein', 'actin', (166, 171))]","{'R1': ('T1', 'T6'), 'R2': ('T2', 'T3'), 'R3': ('T3', 'T5'), 'R4': ('T4', 'T6')}",1
BioInfer_d43,"Although co-localization of glucokinase with actin filaments was not clearly demonstrated in the pancreatic beta-cell line MIN6, islet glucokinase was found to be present in both the nucleus and the cytoplasm, though predominantly in the nucleus.
A portion of glucokinase appeared to be co-localized with actin filaments in the cytoplasm of cultured rat hepatocytes incubated with 25 mM glucose.
Co-localization of glucokinase with actin filaments.
When liver- or islet-type glucokinase was transiently expressed in COS-7 cells, the expressed glucokinase was also co-localized with actin filaments in the cytoplasm of these transfected cells.","[('T6', 'Individual_protein', 'actin', (432, 437)), ('T7', 'Individual_protein', 'glucokinase', (415, 426)), ('T4', 'Individual_protein', 'glucokinase', (260, 271)), ('T10', 'Gene/protein/RNA', 'liver-', (454, 460)), ('T5', 'Individual_protein', 'actin', (305, 310)), ('T11', 'Individual_protein', 'actin', (582, 587)), ('T8', 'Gene/protein/RNA', 'islet-type glucokinase', (464, 486)), ('T9', 'Individual_protein', 'glucokinase', (543, 554)), ('T1', 'Individual_protein', 'actin', (45, 50)), ('T3', 'Gene/protein/RNA', 'islet glucokinase', (129, 146)), ('T2', 'Individual_protein', 'glucokinase', (28, 39))]","{'R1': ('T1', 'T2'), 'R2': ('T4', 'T5'), 'R3': ('T6', 'T7'), 'R4': ('T9', 'T1')}",1
BioInfer_d301,"Immunoreactive E-cadherin, alpha-catenin, beta-catenin, and gamma-catenin proteins in hepatocellular carcinoma: relationships with tumor grade, clinicopathologic parameters, and patients' survival.","[('T4', 'Gene/protein/RNA', 'gamma-catenin', (60, 73)), ('T1', 'Gene/protein/RNA', 'E-cadherin', (15, 25)), ('T3', 'Gene/protein/RNA', 'alpha-catenin', (27, 40)), ('T2', 'Gene/protein/RNA', 'beta-catenin', (42, 54))]",{},1
BioInfer_d760,"To characterize the AAV functions mediating this effect, cloned AAV type 2 wild-type or mutant genomes were transfected into simian virus 40 (SV40)-transformed hamster cells together with the six HSV replication genes (encoding UL5, UL8, major DNA-binding protein, DNA polymerase, UL42, and UL52) which together are necessary and sufficient for the induction of SV40 DNA amplification (R. Heilbronn and H. zur Hausen, J. Virol. 63:3683-3692, 1989).","[('T6', 'Gene/protein/RNA', 'UL42', (281, 285)), ('T4', 'Gene/protein/RNA', 'UL5', (228, 231)), ('T5', 'Gene/protein/RNA', 'UL52', (291, 295)), ('T1', 'Gene/protein/RNA', 'DNA polymerase', (265, 279)), ('T3', 'Gene/protein/RNA', 'UL8', (233, 236)), ('T2', 'Gene/protein/RNA', 'major DNA-binding protein', (238, 263))]",{},0
BioInfer_d259,"Herpes simplex virus type 1 (HSV-1) encodes a helicase-primase that consists of the products of the UL5, UL8, and UL52 genes (Crute, J. J., Tsurumi, T., Zhu, L., Weller, S. K., Olivo, P. D., Challberg, M. D., Mocarski, E. S. and Lehman, I. R. (1989) Proc. Natl. Acad. Sci. U. S. A. 86, 2186-2189).","[('T4', 'Gene', 'UL5', (100, 103)), ('T1', 'Gene', 'UL8', (105, 108)), ('T3', 'Protein_complex', 'helicase-primase', (46, 62)), ('T2', 'Gene', 'UL52', (114, 118))]","{'R1': ('T1', 'T2'), 'R2': ('T1', 'T3'), 'R3': ('T1', 'T4'), 'R4': ('T2', 'T3'), 'R5': ('T2', 'T4'), 'R6': ('T3', 'T4')}",1
BioInfer_d638,"The long repeats, which are interdigitated between the PRRs, increased the frequency with which actin-based motility occurred by a mechanism independent of the PRRs, VASP, and profilin.
The tandem repeat domain in the Listeria monocytogenes ActA protein controls the rate of actin-based motility, the percentage of moving bacteria, and the localization of vasodilator-stimulated phosphoprotein and profilin.","[('T6', 'Individual_protein', 'actin', (275, 280)), ('T7', 'Individual_protein', 'vasodilator-stimulated phosphoprotein', (356, 393)), ('T4', 'Individual_protein', 'profilin', (398, 406)), ('T5', 'Individual_protein', 'ActA', (241, 245)), ('T1', 'Gene/protein/RNA', 'actin', (96, 101)), ('T3', 'Gene/protein/RNA', 'VASP', (166, 170)), ('T2', 'Gene/protein/RNA', 'profilin', (176, 184))]","{'R1': ('T4', 'T5'), 'R2': ('T5', 'T6'), 'R3': ('T5', 'T7')}",1
BioInfer_d288,"Immunofluorescence experiments showed that, like Abp1p, cofilin is associated with the membrane actin cytoskeleton.
In this study, we demonstrate using viscosity, sedimentation, and actin assembly rate assays that yeast cofilin (16 kD) possesses all of these properties.
The NH2-terminal 16kD of Abp1p, a 65-kD yeast protein identified by its ability to bind to actin filaments, is 23% identical to yeast cofilin.
We have biochemically identified the Saccharomyces cerevisiae homologue of the mammalian actin binding protein cofilin.","[('T6', 'Individual_protein', 'Abp1p', (296, 301)), ('T7', 'Individual_protein', 'cofilin', (405, 412)), ('T4', 'Gene/protein/RNA', 'cofilin', (220, 227)), ('T10', 'Individual_protein', 'cofilin', (525, 532)), ('T5', 'Gene/protein/RNA', 'actin', (182, 187)), ('T8', 'Individual_protein', 'actin', (362, 367)), ('T9', 'Protein_family_or_group', 'actin binding protein', (503, 524)), ('T1', 'Individual_protein', 'Abp1p', (49, 54)), ('T3', 'Individual_protein', 'cofilin', (56, 63)), ('T2', 'Individual_protein', 'actin', (96, 101))]","{'R1': ('T1', 'T2'), 'R2': ('T2', 'T3'), 'R3': ('T6', 'T7'), 'R4': ('T6', 'T8'), 'R5': ('T9', 'T1')}",1
BioInfer_d225,"Further, PRP incubated with IL-6 showed a dose dependent increase in TXB2 and BTG secretion as measured by RIA and an increased incorporation of actin binding protein, talin, and myosin into the cytoskeletal core (triton insoluble residue) as shown by SDS-PAGE.","[('T6', 'Individual_protein', 'IL-6', (28, 32)), ('T4', 'Individual_protein', 'talin', (168, 173)), ('T5', 'Protein_family_or_group', 'actin binding protein', (145, 166)), ('T1', 'Individual_protein', 'BTG', (78, 81)), ('T3', 'Individual_protein', 'TXB2', (69, 73)), ('T2', 'Individual_protein', 'myosin', (179, 185))]","{'R1': ('T1', 'T6'), 'R2': ('T2', 'T4'), 'R3': ('T2', 'T5'), 'R4': ('T3', 'T6'), 'R5': ('T4', 'T5')}",1
BioInfer_d582,"The binding constants of Acanthamoeba profilin to fluorescein-labeled actin from Acanthamoeba and from rabbit skeletal muscle have been determined by measuring the reduction in the actin tracer diffusion coefficients, determined by fluorescence photobleaching recovery, as a function of added profilin concentration.
These dissociation constants are the first to be determined from direct physical measurement; they are in agreement with values inferred from earlier studies on the effect of profilin on the assembly of actin that had been fluorescently labeled or otherwise modified at Cys 374.
These results place important restrictions on the interpretation of experiments in which fluorescently labeled actin is used as a probe of living cytoplasm or cytoplasmic extracts that include profilin.","[('T6', 'Individual_protein', 'profilin', (492, 500)), ('T7', 'Gene/protein/RNA', 'actin', (707, 712)), ('T4', 'Gene/protein/RNA', 'profilin', (293, 301)), ('T5', 'Individual_protein', 'actin', (520, 525)), ('T8', 'Gene/protein/RNA', 'profilin', (789, 797)), ('T1', 'Gene/protein/RNA', 'actin', (181, 186)), ('T3', 'Individual_protein', 'actin', (70, 75)), ('T2', 'Individual_protein', 'profilin', (38, 46))]","{'R1': ('T2', 'T3'), 'R2': ('T5', 'T6')}",1
BioInfer_d644,"The microvillus cytoskeleton, isolated from chicken intestinal epithelial cell brush borders, is known to contain five major protein components, the 110,000-dalton polypeptide, villin (95,000 daltons), fimbrin (68,000 daltons), actin (43,000 daltons), and calmodulin (17,000 daltons).","[('T4', 'Individual_protein', 'actin', (228, 233)), ('T1', 'Individual_protein', 'villin', (177, 183)), ('T3', 'Individual_protein', 'fimbrin', (202, 209)), ('T2', 'Individual_protein', 'calmodulin', (256, 266))]","{'R1': ('T1', 'T2'), 'R2': ('T1', 'T3'), 'R3': ('T1', 'T4'), 'R4': ('T2', 'T3'), 'R5': ('T2', 'T4'), 'R6': ('T3', 'T4')}",1
BioInfer_d695,These data suggest that nuclear profilin can mediate a stimulus-response action on the actin cytoskeleton which is somehow linked to a phosphoinositide-signaling cascade.,"[('T1', 'Individual_protein', 'actin', (87, 92)), ('T2', 'Individual_protein', 'profilin', (32, 40))]","{'R1': ('T1', 'T2')}",1
BioInfer_d132,"Cells lacking talin, a protein which in many mammalian cell types is a constituent of focal complexes that link the actin cytoskeleton to the plasma membrane, are strongly impaired in adhesion to external surfaces.","[('T1', 'Gene/protein/RNA', 'actin', (116, 121)), ('T2', 'Gene/protein/RNA', 'talin', (14, 19))]",{},0
BioInfer_d553,Studies on the interaction between actin and cofilin purified by a new method.,"[('T1', 'Individual_protein', 'actin', (35, 40)), ('T2', 'Individual_protein', 'cofilin', (45, 52))]","{'R1': ('T1', 'T2')}",1
BioInfer_d479,"p21 (p21WAF1/Cip1), a cyclin-dependent kinase inhibitor, induces G1 arrest and can inhibit the activity of the proliferating cell nuclear antigen (PCNA).","[('T6', 'Protein_family_or_group', 'cyclin-dependent kinase inhibitor', (22, 55)), ('T4', 'Individual_protein', 'p21WAF1', (5, 12)), ('T5', 'Individual_protein', 'proliferating cell nuclear antigen', (111, 145)), ('T1', 'Individual_protein', 'p21', (0, 3)), ('T3', 'Individual_protein', 'Cip1', (13, 17)), ('T2', 'Individual_protein', 'PCNA', (147, 151))]","{'R1': ('T1', 'T2'), 'R2': ('T1', 'T5'), 'R3': ('T1', 'T6'), 'R4': ('T2', 'T3'), 'R5': ('T2', 'T4'), 'R6': ('T3', 'T5'), 'R7': ('T3', 'T6'), 'R8': ('T4', 'T5'), 'R9': ('T4', 'T6')}",1
BioInfer_d257,"Herpes simplex virus type 1 encodes a heterotrimeric helicase-primase complex that is composed of the products of the UL5, UL52, and UL8 genes.","[('T4', 'Gene', 'UL8', (133, 136)), ('T1', 'Gene', 'UL52', (123, 127)), ('T3', 'Gene', 'UL5', (118, 121)), ('T2', 'Protein_complex', 'helicase-primase', (53, 69))]","{'R1': ('T1', 'T2'), 'R2': ('T1', 'T3'), 'R3': ('T1', 'T4'), 'R4': ('T2', 'T3'), 'R5': ('T2', 'T4'), 'R6': ('T3', 'T4')}",1
BioInfer_d191,"Equine satellite cell clone SE-11 and ovine satellite cell clone I(1)were evaluated for expression of myosin heavy chain, myogenin, desmin, and muscle-specific actin over a 240 h period in culture.","[('T4', 'Gene/protein/RNA', 'myosin heavy chain', (102, 120)), ('T1', 'Gene/protein/RNA', 'muscle-specific actin', (144, 165)), ('T3', 'Gene/protein/RNA', 'desmin', (132, 138)), ('T2', 'Gene/protein/RNA', 'myogenin', (122, 130))]",{},0
BioInfer_d636,"The isolated intestinal microvillus cytoskeleton (core) consists of four major proteins: actin, villin, fimbrin and brush border myosin-I.","[('T4', 'Individual_protein', 'fimbrin', (104, 111)), ('T1', 'Individual_protein', 'actin', (89, 94)), ('T3', 'Individual_protein', 'villin', (96, 102)), ('T2', 'Individual_protein', 'brush border myosin-I', (116, 137))]","{'R1': ('T1', 'T2'), 'R2': ('T1', 'T3'), 'R3': ('T1', 'T4'), 'R4': ('T2', 'T3'), 'R5': ('T2', 'T4'), 'R6': ('T3', 'T4')}",1
BioInfer_d140,"Characterization of the interactions of alpha-catenin with alpha-actinin and beta-catenin/plakoglobin.
In this study we have used the yeast two-hybrid system to map the domains on alpha-catenin that allow it to associate with beta-catenin/plakoglobin and with alpha-actinin.
beta-catenin or plakoglobin is associated directly with the cadherin; alpha-catenin binds to beta-catenin/plakoglobin and serves to link the cadherin/catenin complex to the actin cytoskeleton.","[('T1', 'Individual_protein', 'alpha-actinin', (59, 72)), ('T3', 'Individual_protein', 'plakoglobin', (90, 101)), ('T2', 'Individual_protein', 'alpha-catenin', (40, 53)), ('T6', 'Individual_protein', 'alpha-catenin', (180, 193)), ('T7', 'Individual_protein', 'beta-catenin', (226, 238)), ('T4', 'Individual_protein', 'beta-catenin', (77, 89)), ('T5', 'Individual_protein', 'plakoglobin', (239, 250)), ('T10', 'Individual_protein', 'plakoglobin', (291, 302)), ('T11', 'Individual_protein', 'beta-catenin', (275, 287)), ('T12', 'Individual_protein', 'cadherin', (416, 424)), ('T8', 'Individual_protein', 'alpha-actinin', (260, 273)), ('T13', 'Individual_protein', 'catenin', (425, 432)), ('T14', 'Individual_protein', 'alpha-catenin', (345, 358)), ('T9', 'Individual_protein', 'cadherin', (335, 343)), ('T15', 'Individual_protein', 'plakoglobin', (381, 392)), ('T16', 'Individual_protein', 'actin', (448, 453)), ('T17', 'Individual_protein', 'beta-catenin', (368, 380))]","{'R1': ('T1', 'T2'), 'R10': ('T1', 'T1'), 'R11': ('T1', 'T1'), 'R12': ('T1', 'T1'), 'R13': ('T1', 'T1'), 'R14': ('T1', 'T1'), 'R15': ('T1', 'T1'), 'R16': ('T1', 'T1'), 'R17': ('T1', 'T1'), 'R2': ('T2', 'T3'), 'R3': ('T2', 'T4'), 'R4': ('T3', 'T4'), 'R5': ('T5', 'T6'), 'R6': ('T6', 'T7'), 'R7': ('T6', 'T8'), 'R8': ('T9', 'T1'), 'R9': ('T9', 'T1')}",1
BioInfer_d521,"Resonance energy transfer determination of the following distances, using a hybrid myosin: those between Cys-55 on the Mercenaria regulatory light chain, SH-1 on the Aequipecten myosin heavy chain, and Cys-374 of actin.","[('T4', 'Gene/protein/RNA', 'regulatory light chain', (130, 152)), ('T1', 'Gene/protein/RNA', 'myosin heavy chain', (178, 196)), ('T3', 'Gene/protein/RNA', 'actin', (213, 218)), ('T2', 'Gene/protein/RNA', 'myosin', (83, 89))]",{},0
BioInfer_d286,"Immunoblot and Northern blot analyses also revealed the presence of alpha-catenin, beta-catenin, and gamma-catenin (plakoglobin) in these cell lines.","[('T4', 'Individual_protein', 'gamma-catenin', (101, 114)), ('T1', 'Gene/protein/RNA', 'beta-catenin', (83, 95)), ('T3', 'Gene/protein/RNA', 'alpha-catenin', (68, 81)), ('T2', 'Individual_protein', 'plakoglobin', (116, 127))]",{},0
BioInfer_d405,"LIM-kinase 1 (LIMK1) phosphorylates cofilin, an actin-depolymerizing factor, and regulates actin cytoskeletal reorganization.","[('T4', 'Individual_protein', 'LIMK1', (14, 19)), ('T5', 'Individual_protein', 'LIM-kinase 1', (0, 12)), ('T1', 'Individual_protein', 'actin', (91, 96)), ('T3', 'Individual_protein', 'cofilin', (36, 43)), ('T2', 'Individual_protein', 'actin-depolymerizing factor', (48, 75))]","{'R1': ('T1', 'T4'), 'R2': ('T1', 'T5'), 'R3': ('T2', 'T3'), 'R4': ('T3', 'T4'), 'R5': ('T3', 'T5')}",1
BioInfer_d373,"In this actin clustering, profilin, a monomeric actin-binding protein that has been suggested to be involved in actin polymerization, was shown to be essential.","[('T4', 'Protein_family_or_group', 'actin-binding protein', (48, 69)), ('T1', 'Individual_protein', 'profilin', (26, 34)), ('T3', 'Individual_protein', 'actin', (8, 13)), ('T2', 'Individual_protein', 'actin', (112, 117))]","{'R1': ('T1', 'T2'), 'R2': ('T1', 'T3'), 'R3': ('T1', 'T4')}",1
BioInfer_d31,"After in vitro labelling of isolated rat liver nuclei, the following ADP-ribosylated and unmodified histones were identified by HPLC and gel electrophoresis: histone H1(0), four histone H1 subfractions, histone H2A.1, histone H2A.2, oxidized histone H2A.2, histone H2A.X, histone H2A.Z, histone H2B, three histone H3 variants and histone H4.","[('T1', 'Protein_family_or_group', 'histone', (330, 337)), ('T3', 'Protein_family_or_group', 'histone', (158, 165)), ('T2', 'Protein_family_or_group', 'histone', (306, 313)), ('T6', 'Protein_family_or_group', 'histone', (178, 185)), ('T7', 'Protein_family_or_group', 'histone', (257, 264)), ('T4', 'Protein_family_or_group', 'histone', (218, 225)), ('T5', 'Protein_family_or_group', 'histone', (203, 210)), ('T10', 'Individual_protein', 'H3', (314, 316)), ('T11', 'Individual_protein', 'H2B', (295, 298)), ('T12', 'Individual_protein', 'H4', (338, 340)), ('T8', 'Protein_family_or_group', 'histone', (287, 294)), ('T13', 'Protein_family_or_group', 'histone', (242, 249)), ('T14', 'Individual_protein', 'H2A.1', (211, 216)), ('T9', 'Protein_family_or_group', 'histone', (272, 279)), ('T15', 'Individual_protein', 'H1', (186, 188)), ('T16', 'Individual_protein', 'H1(0)', (166, 171)), ('T17', 'Gene/protein/RNA', 'histones', (100, 108)), ('T18', 'Individual_protein', 'H2A.Z', (280, 285)), ('T21', 'Individual_protein', 'H2A.2', (226, 231)), ('T19', 'Individual_protein', 'H2A.X', (265, 270)), ('T20', 'Individual_protein', 'H2A.2', (250, 255))]","{'R1': ('T1', 'T1'), 'R10': ('T1', 'T2'), 'R2': ('T2', 'T1'), 'R3': ('T3', 'T1'), 'R4': ('T4', 'T2'), 'R5': ('T5', 'T1'), 'R6': ('T6', 'T1'), 'R7': ('T7', 'T1'), 'R8': ('T8', 'T1'), 'R9': ('T9', 'T1')}",1
BioInfer_d712,These results suggest that profilin may be involved in the pathogenesis of glomerulonephritis by reorganizing actin cytoskeleton.,"[('T1', 'Individual_protein', 'profilin', (27, 35)), ('T2', 'Individual_protein', 'actin', (110, 115))]","{'R1': ('T1', 'T2')}",1
BioInfer_d402,"Like actin, the actin-associated proteins filamin, talin and the beta 1 integrin subunit were also found to accumulate around entering bacteria.","[('T4', 'Individual_protein', 'actin', (16, 21)), ('T5', 'Individual_protein', 'actin', (5, 10)), ('T1', 'Individual_protein', 'beta 1 integrin subunit', (65, 88)), ('T3', 'Individual_protein', 'filamin', (42, 49)), ('T2', 'Individual_protein', 'talin', (51, 56))]","{'R1': ('T1', 'T2'), 'R2': ('T1', 'T3'), 'R3': ('T1', 'T4'), 'R4': ('T1', 'T5'), 'R5': ('T2', 'T3'), 'R6': ('T2', 'T4'), 'R7': ('T2', 'T5'), 'R8': ('T3', 'T4'), 'R9': ('T3', 'T5')}",1
BioInfer_d36,"A LIMK2 mutant with replacement of threonine 505 by valine abolished LIMK2 activities for cofilin phosphorylation and actin cytoskeletal changes, whereas replacement by glutamate enhanced the protein kinase activity and stress fiber formation by LIMK2.","[('T6', 'Individual_protein', 'LIMK2', (69, 74)), ('T4', 'Individual_protein', 'LIMK2', (2, 7)), ('T5', 'Individual_protein', 'actin', (118, 123)), ('T1', 'Individual_protein', 'protein kinase', (192, 206)), ('T3', 'Individual_protein', 'cofilin', (90, 97)), ('T2', 'Individual_protein', 'LIMK2', (246, 251))]","{'R1': ('T1', 'T2'), 'R2': ('T3', 'T4'), 'R3': ('T3', 'T6'), 'R4': ('T4', 'T5'), 'R5': ('T5', 'T6')}",1
BioInfer_d374,"In this case, efficient repair does not require RAD1 and MSH2, consistent with our previous observations.","[('T1', 'Gene/protein/RNA', 'MSH2', (57, 61)), ('T2', 'Gene/protein/RNA', 'RAD1', (48, 52))]",{},0
BioInfer_d715,"These results suggest that TNF-alpha can cause apoptosis in pancreatic beta cells through TNFR1-linked apoptotic factors, TRADD, FADD, and FLICE, and TNF-induced ceramide production may be involved in the pathways.","[('T6', 'Individual_protein', 'TNFR1', (90, 95)), ('T4', 'Individual_protein', 'FADD', (129, 133)), ('T5', 'Gene/protein/RNA', 'TNF', (150, 153)), ('T1', 'Individual_protein', 'TRADD', (122, 127)), ('T3', 'Individual_protein', 'FLICE', (139, 144)), ('T2', 'Individual_protein', 'TNF-alpha', (27, 36))]","{'R1': ('T1', 'T2'), 'R2': ('T1', 'T6'), 'R3': ('T2', 'T3'), 'R4': ('T2', 'T4'), 'R5': ('T3', 'T6'), 'R6': ('T4', 'T6')}",1
BioInfer_d308,"In Acanthamoeba, the two isoforms of profilin may have specialized functions on the basis of their identical (approximately 10 microM) affinities for actin monomers and different affinities for PIP2.","[('T1', 'Individual_protein', 'actin', (150, 155)), ('T2', 'Individual_protein', 'profilin', (37, 45))]","{'R1': ('T1', 'T2')}",1
BioInfer_d769,"To improve our ability to study these proteins, we have expressed UL5, UL8, UL9, and UL52 in insect cells by using the baculovirus expression system.
Various immunological assays suggest that four of these proteins (UL5, UL8, UL9, and UL52) are made in infected cells in very low abundance relative to the other three.","[('T6', 'Gene/protein/RNA', 'UL8', (221, 224)), ('T7', 'Gene/protein/RNA', 'UL9', (226, 229)), ('T4', 'Gene/protein/RNA', 'UL52', (85, 89)), ('T5', 'Gene/protein/RNA', 'UL52', (235, 239)), ('T8', 'Gene/protein/RNA', 'UL5', (216, 219)), ('T1', 'Gene/protein/RNA', 'UL5', (66, 69)), ('T3', 'Gene/protein/RNA', 'UL8', (71, 74)), ('T2', 'Gene/protein/RNA', 'UL9', (76, 79))]",{},0
BioInfer_d250,"Here we show that cdc12p is a member of a family of proteins including Drosophila diaphanous, Saccharomyces cerevisiae BNI1, and S. pombe fus1, which are involved in cytokinesis or other actin-mediated processes.","[('T4', 'Individual_protein', 'BNI1', (119, 123)), ('T5', 'Individual_protein', 'diaphanous', (82, 92)), ('T1', 'Individual_protein', 'cdc12p', (18, 24)), ('T3', 'Individual_protein', 'actin', (187, 192)), ('T2', 'Individual_protein', 'fus1', (138, 142))]",{},0
BioInfer_d631,The interaction of bovine respiratory syncytial virus (BRSV) phosphoprotein (P) with nucleocapsid (N) and large polymerase (L) proteins was investigated using an intracellular BRSV-CAT minigenome replication system.,"[('T6', 'Gene/protein/RNA', 'CAT', (181, 184)), ('T7', 'Individual_protein', 'L', (124, 125)), ('T4', 'Individual_protein', 'phosphoprotein', (61, 75)), ('T5', 'Individual_protein', 'P', (77, 78)), ('T1', 'Individual_protein', 'large polymerase', (106, 122)), ('T3', 'Individual_protein', 'nucleocapsid', (85, 97)), ('T2', 'Individual_protein', 'N', (99, 100))]","{'R1': ('T1', 'T4'), 'R2': ('T1', 'T5'), 'R3': ('T2', 'T4'), 'R4': ('T2', 'T5'), 'R5': ('T3', 'T4'), 'R6': ('T3', 'T5'), 'R7': ('T4', 'T7'), 'R8': ('T5', 'T7')}",1
BioInfer_d196,"Evidence suggests that this differential recognition bears functional significance concerning the intricate roles of profilin and inositol lipids in modulating actin polymerization and PtdIns(4,5)P2 turnover.","[('T1', 'Individual_protein', 'actin', (160, 165)), ('T2', 'Individual_protein', 'profilin', (117, 125))]","{'R1': ('T1', 'T2')}",1
BioInfer_d147,"Cofilin was identified by peptide sequencing, and cofilin recruitment and Listeria tail length were found to be pH-dependent, in agreement with its recently reported role in enhancing actin filament turnover.","[('T1', 'Individual_protein', 'Cofilin', (0, 7)), ('T3', 'Individual_protein', 'actin', (184, 189)), ('T2', 'Gene/protein/RNA', 'cofilin', (50, 57))]","{'R1': ('T1', 'T3')}",1
BioInfer_d281,"Human profilins are multifunctional, single-domain proteins which directly link the actin microfilament system to a variety of signalling pathways via two spatially distinct binding sites.","[('T1', 'Individual_protein', 'actin', (84, 89)), ('T2', 'Individual_protein', 'profilins', (6, 15))]","{'R1': ('T1', 'T2')}",1
BioInfer_d526,"Saccharomyces cerevisiae PAC2 functions with CIN1, 2 and 4 in a pathway leading to normal microtubule stability.","[('T4', 'Individual_protein', 'CIN', (45, 48)), ('T1', 'Individual_protein', 'PAC2', (25, 29)), ('T3', 'Individual_protein', 'CIN', (45, 48)), ('T2', 'Individual_protein', 'CIN1', (45, 49))]","{'R1': ('T1', 'T2'), 'R2': ('T1', 'T3'), 'R3': ('T1', 'T4')}",1
BioInfer_d720,"The sites on the myosin heavy chain that interact with actin and are responsible for force generation are ill-defined: crosslinking and experiments with isolated domains of the myosin head implicate regions in both the 50K and 20K (molecular weights in thousands) domains of the myosin head (subfragment 1, S1) in this process.","[('T4', 'Individual_protein', 'myosin heavy chain', (17, 35)), ('T1', 'Gene/protein/RNA', 'myosin', (177, 183)), ('T3', 'Individual_protein', 'actin', (55, 60)), ('T2', 'Gene/protein/RNA', 'myosin', (279, 285))]","{'R1': ('T3', 'T4')}",1
BioInfer_d341,Inhibition of cyclin D1 expression or induction of cyclin-dependent kinase inhibitor p21WAF1 expression was found in mimosine-treated lung cancer cells.,"[('T1', 'Individual_protein', 'p21WAF1', (85, 92)), ('T3', 'Gene/protein/RNA', 'cyclin D1', (14, 23)), ('T2', 'Protein_family_or_group', 'cyclin-dependent kinase inhibitor', (51, 84))]","{'R1': ('T1', 'T2')}",1
BioInfer_d390,"Isolation and characterization of death domain (TNF-RI, Fas, TRADD, FADD/MORT-1, RIP) and TRAF domain-containing proteins (TRAF-1, TRAF-2, TRAF-3) have partially bridged a large molecular gap within one of several signaling pathways which originate at the plasma membrane and terminate in the nucleus.","[('T6', 'Gene/protein/RNA', 'TRAF-3', (139, 145)), ('T7', 'Gene/protein/RNA', 'TNF-RI', (48, 54)), ('T4', 'Gene/protein/RNA', 'TRAF-2', (131, 137)), ('T10', 'Gene/protein/RNA', 'RIP', (81, 84)), ('T5', 'Gene/protein/RNA', 'TRAF-1', (123, 129)), ('T8', 'Gene/protein/RNA', 'TRADD', (61, 66)), ('T9', 'Gene/protein/RNA', 'Fas', (56, 59)), ('T1', 'Gene/protein/RNA', 'TRAF', (90, 94)), ('T3', 'Individual_protein', 'FADD', (68, 72)), ('T2', 'Individual_protein', 'MORT-1', (73, 79))]",{},0
BioInfer_d437,"Moreover, in the presence of cofilin, rapid interconversion of monomeric and polymeric forms of actin can be induced by simply changing the pH of the medium.
pH control of actin polymerization by cofilin.","[('T4', 'Individual_protein', 'actin', (172, 177)), ('T1', 'Individual_protein', 'actin', (96, 101)), ('T3', 'Individual_protein', 'cofilin', (196, 203)), ('T2', 'Individual_protein', 'cofilin', (29, 36))]","{'R1': ('T3', 'T4')}",1
BioInfer_d678,"The radioresistant N10 and parental KB cell lines were examined for the expression of human DNA repair genes which were related to the repair of radiation-induced DNA damage by northern blot analysis using five kinds of DNA probes (XRCC1, XRCC3, XRCC5, RAD51, RAD52).","[('T4', 'Gene/protein/RNA', 'XRCC3', (239, 244)), ('T5', 'Gene/protein/RNA', 'RAD51', (253, 258)), ('T1', 'Gene/protein/RNA', 'XRCC5', (246, 251)), ('T3', 'Gene/protein/RNA', 'RAD52', (260, 265)), ('T2', 'Gene/protein/RNA', 'XRCC1', (232, 237))]",{},0
